Name,Price,Description,Reviews,Rating,Image URL
Campus Men's VAYU Walking Shoes,₹839,"[""Shoes' Upper- Step effortlessly into comfort and style with these casual slip-on shoes for men. The knitted vamp upper ensures a cool and comfortable environment for your feet. Designed for convenience, these slip-ons are a hassle-free choice, especially for those averse to tying laces. From college and office settings to casual dates, they cater to a range of needs. Versatile and adaptable, these casual men's shoes are well-suited for any occasion."", ""Shoes' Outsole- Benefit from the cushioned support of the Pillo Foam sole, which guarantees a soft landing with each step you take. Relish in the secure impact protection provided by the outsole, ensuring comfortable striding. These men's shoes seamlessly align with your dynamic, fast-paced lifestyle, making them an impeccable choice for those who are always on the move."", ""Shoes' Insole- Experience advanced comfort with these men's casual shoes boasting a Memory Foam insole that conforms to your foot's contours and offers superior arch support. Enjoy personalized comfort while walking or running, thanks to the cushioned insole. These shoes for men are thoughtfully designed to amplify support throughout your stride, making each step more comfortable and supported."", 'Styling Tips- Match slip-ons with rolled-up jeans and a simple tee for a laid-back and comfortable ensemble. Or try these slip-on with shorts and a lightweight button-up shirt for a stylish summer outfit.', 'Clean Your Shoes- To keep these casual shoes in good condition just remove any dust from the surface with a dry cloth every day. Second, wash these running shoes with soap water once a month and let them air dry. These shoes are washable and easy to clean and dry.']",529 ratings,3.9 out of 5 stars,https://m.media-amazon.com/images/I/31NQIFE31fL._SY395_SX395_.jpg
US Polo Association Mens Abor Sneakers,"₹1,903",[],"4,106 ratings",3.6 out of 5 stars,https://m.media-amazon.com/images/I/31uHlnPUGML._SY395_SX395_.jpg
Skechers Mens Go Run ConsistentRunning Shoe,"₹4,069","['ULTRA LIGHT FOAM, M-STRIKE TECHNOLOGY, AIR COOLED GOGA MAT INSOLE']",10 ratings,3.7 out of 5 stars,https://m.media-amazon.com/images/I/316nep+xHIL._SX395_SY395_.jpg
Bacca Bucci Proton Men's Plus Size Sports Shoes with Shock Absorption Sports Lining & Anti-Slip Whole-Woven Upper,"₹1,589","['Breathable and Comfortable: Whole-Woven Double-layer structure is used to shape the lightweight upper, which enhances air circulation and creates a cool and dry wearing environment.', 'Stable and Durable: The side upper of the Running shoe is made of Nylon Superior Textile material, which wraps the foot in all directions, provides excellent stability and support, and prevents the feet from sliding in the shoe during exercise.', 'Elastic Insole: The memory foam insole perfectly fits the skin of the foot and provides a soft touch. It can fully absorb vibration, reduce foot pressure, and provide all-day comfort.', 'Cushion and Support: The foam midsole can effectively slow down the vibration during exercise, buffer the impact of the ground on the foot, and rebound quickly, giving the foot strong support.', 'Upgraded Outsole: Outsole combines MD and rubber which greatly enhances elasticity and abrasion resistance. The sole of the shoe has a snake scales pattern, offering durable traction on a variety of surfaces.']",187 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41XRAexCc1L._SY395_SX395_.jpg
Bacca Bucci® Running Shoes Men Lightweight Fashion Sneakers Walking Footwear Tennis Athletic Shoes for Outdoor Sport Gym Jogging Big Size UK-11 to 15,"₹1,199","[""Knit Upper: Soft & Comfortable & Breathable. Knit Upper Material Make It Possible That Your Feet Free Breath When You Run Or Walk. It'S Soft And Protective To Cushion Your Every Step."", 'Md Sole: Lightweight & Excellent Bounce-Back & Durability. The Soft Sole Is Made From Durable And High Elastic Md Outsole, Slip Resistant,Easy To Manage Any Area.', 'Fashion Design: Perfect Accord With Human Body Engineering, Green, Healthy Concept Design. Selection Of Good Material, Breathable, Lightweight, Comfortable Shoes. Fashion Unique Durable, Safe Environmental Protection Material.', 'Suitable For: Walking, Daily Walking, Casual, Outdoor, Vacation, Party, Sports, Yoga, Golf, Gym, Driving, Shopping, Work And Etc.; Attention: Please Confirm The Size Chart, Choose Your Usual Size When Placing Order. Size Is The Standard Sports Shoes Size. Contact Us When You Have Any Problem Before Or After Buying Our Product, We Are Always Here For You.', 'Age Range Description: Adult']",282 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41V9lZdH9QL._SY395_SX395_.jpg
Bacca Bucci® Men's Running Shoes Light-Weight Shockproof Walking Shoes Cushioning Sneakers for Gym Sports Casual Athletic Outdoor,"₹1,299","['?CUSHIONING MD SOLE:This mens running shoe uses a cushioning MD sole, it’s EVA secondary foaming technology, which has 30% more cushioning,it can distract 60% of the foot‘s pressure during running,make you feel comfortable.', '?LIGHTWEIGHT DESIGN:Designed with polyester lightweight vamp, and the free tension allows you to enjoy the ultimate barefoot feeling,improve the overall stability and flexibility.', '?COMFORTABLE EXPERIENCE:It use of ergonomic design,the inside of the shoe is made of a comfortable polyester fabric,the free tension allows you to enjoy the ultimate barefoot feeling.', '?ANTI-SLIP AND WEARPROOF:Made by EVA +MD outsole,17% performance better than ordinary rubber, which improves wear resistance and grip strength.It is scratch-resistant, non-slip, and effectively supports the heel.', '?BACCA BUCCI GUARANTEE: If have any problems with with the quality of our mens sneakers, we will 100% refund. Please without any hesitations to contact us, we will handle it within 24 hours.']",362 ratings,4.2 out of 5 stars,https://m.media-amazon.com/images/I/41ximszHgvL._SY395_SX395_.jpg
Bacca Bucci Project Plus Running Walking Training Gym Shoes Specially Developed for Wide and Large Foots | Only Big UK-11 to 15,"₹1,299","['Easy to maintain', 'CUSHIONING MD SOLE:This mens running shoe uses a cushioning MD sole, it s EVA secondary foaming technology, which has 30% more cushioning,it can distract 60% of the foot s pressure during running,make you feel comfortable.']",563 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51+YhwnWMNL._SY395_SX395_.jpg
Bacca Bucci® Men's Running Shoes Light Weight Shock Proof Walking Shoes Cushioning Sneakers Gym Sports Casual Athletic Outdoor,"₹1,299","['?CUSHIONING MD SOLE:This mens running shoe uses a cushioning MD sole, it s EVA secondary foaming technology, which has 30% more cushioning,it can distract 60% of the foot s pressure during running,make you feel comfortable.']",140 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41F2FskNA7L._SY395_SX395_.jpg
Woodland Mens Gc 1868115nw Sneaker,"₹3,037",['Casual Leather Shoes'],633 ratings,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41BN8pUQwUL._SX395_SY395_.jpg
U.S. POLO ASSN. Mens RubenSneaker,"₹2,849","['us polo mens sneakar', 'U.S. Polo Assn. Men RUBEN SNEAKERS']",6 ratings,2.9 out of 5 stars,https://m.media-amazon.com/images/I/41K29pq3t6L._SY395_SX395_.jpg
ASICS Men's Gel-Contend 4B+ Running Shoes,"₹1,999","['Breathable Upper to provide cooling comfort', 'Superior Cushioning and Flexibility', 'Upper Material - Synthetic Fiber']","4,250 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/31wbQh2CBXL._SY395_SX395_.jpg
Reebok Mens Speed Runner Lp Running Shoe,"₹1,203","['Outer Material: Synthetic', 'Closure Type: Lace-Up', 'Toe Style: Round Toe', 'Warranty Type: Manufacturer & Seller', 'Warranty Description: 90 days']","1,375 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41LXk-HDt7L._SX395_SY395_.jpg
ASICS Men's Gel-Courtmov Indoor Sports Shoes,"₹3,830","['Multi-purpose indoor court shoe that offers good stability and easy movement for a range of court athletes.', 'Provides better stability during game', 'Upper Material - Synthetic Leather']",312 ratings,3.9 out of 5 stars,https://m.media-amazon.com/images/I/41y+X2+cc3L._SX395_SY395_.jpg
Adidas Men's Adivat M Running Shoes,"₹1,259",['Dual tone light weight mesh & synthetic with recycled fibers with unique performance properties such as soft mesh with superior moisture and high durability. ;Midsole: lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces ;Unique design of counters & deco stitch on the vamp which makes the shoe stand out. ;Upper: Mesh upper for lightweight and breathability'],"2,541 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41fZ4wcGi-L._SX395_SY395_.jpg
Nike Men Air Zoom Vomero 16 Low Top Running Shoes,"₹9,312",['NIKE AIR ZOOM VOMERO 16-BLACK/WHITE-SUNDIAL-HIGH VOLTAGE-DA7245-012-9UK'],359 ratings,4.0 out of 5 stars,https://m.media-amazon.com/images/I/31xq4KkzmwL._SX395_SY395_.jpg
